name,link
Barbara Striesand,https://en.wikipedia.org/wiki/Barbra_Streisand
Madonna,https://en.wikipedia.org/wiki/Madonna_%28entertainer%29
Sandi Toksvig,https://en.wikipedia.org/wiki/Sandi_Toksvig
Bessie Coleman,https://en.wikipedia.org/wiki/Bessie_Coleman
Victoria Beckham,https://en.wikipedia.org/wiki/Victoria_Beckham
Pocahontas,https://en.wikipedia.org/wiki/Pocahontas
Sacagawea,https://en.wikipedia.org/wiki/Sacagawea
Emily Dickinson,https://en.wikipedia.org/wiki/Emily_Dickinson
Gail Laughlin,https://en.wikipedia.org/wiki/Gail_Laughlin
Georgia O'Keeffe,https://en.wikipedia.org/wiki/Georgia_O%27Keeffe
Rosa Parks,https://en.wikipedia.org/wiki/Rosa_Parks
Sandra Day O'Connor,https://en.wikipedia.org/wiki/Sandra_Day_O%27Connor
Grandma Moses,https://en.wikipedia.org/wiki/Grandma_Moses
Raymonde de Laroche,https://en.wikipedia.org/wiki/Raymonde_de_Laroche
Mae Jemison,https://en.wikipedia.org/wiki/Mae_Jemison
Sally Ride,https://en.wikipedia.org/wiki/Sally_Ride
Elizabeth Arden,https://en.wikipedia.org/wiki/Elizabeth_Arden
Estee Lauder,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_(businesswoman)
Madam C. J. Walker,https://en.wikipedia.org/wiki/Madam_C._J._Walker
Cher,https://en.wikipedia.org/wiki/Cher
Harriet Chalmers Adams,https://en.wikipedia.org/wiki/Harriet_Chalmers_Adams
Irena Sendler,https://en.wikipedia.org/wiki/Irena_Sendler
Helen Thayer,https://en.wikipedia.org/wiki/Helen_Thayer
Dian Fossey,https://en.wikipedia.org/wiki/Dian_Fossey
Dorothy Hodgkin,https://en.wikipedia.org/wiki/Dorothy_Hodgkin
Lisa Meitner,https://en.wikipedia.org/wiki/Lise_Meitner
Shirley Chisolm,https://en.wikipedia.org/wiki/Shirley_Chisholm
Frances Perkins,https://en.wikipedia.org/wiki/Frances_Perkins
Eva Peron,https://en.wikipedia.org/wiki/Eva_Per%C3%B3n
Aung San Suu Kyi,https://en.wikipedia.org/wiki/Aung_San_Suu_Kyi
Tokyo Rose,https://en.wikipedia.org/wiki/Tokyo_Rose
Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc

